PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,CFACPR,OPENPRC
84398,1999/09/02,130.65625,132.67188,132.10938,10896299,132.00000,133.53125,1,132.12500
84398,1999/09/03,134.68750,136.50000,135.96875,9160799,136.25000,136.62500,1,134.87500
84398,1999/09/07,135.21875,136.62500,135.46875,4560799,135.25000,135.62500,1,136.06250
84398,1999/09/08,134.03125,136.06250,134.81250,6159599,134.62500,135.00000,1,134.84375
84398,1999/09/09,133.68750,135.25000,134.75000,6177799,134.62500,135.00000,1,134.75000
84398,1999/09/10,134.93750,136.35938,135.87500,2934500,135.00000,136.00000,1,136.25000
84398,1999/09/13,134.50000,135.46875,134.95313,2320500,,,1,135.12500
84398,1999/09/14,133.37500,134.56250,134.06250,3736000,133.87500,134.25000,1,134.06250
84398,1999/09/15,131.87500,135.43750,131.93750,6984500,131.75000,132.12500,1,135.43750
84398,1999/09/16,130.31250,132.81250,132.45313,15377599,,,1,132.50000
84398,1999/09/17,132.15625,133.93750,133.75000,8542299,133.56250,133.87500,1,132.62500
84398,1999/09/20,133.09375,134.00000,133.56250,2803899,133.25000,133.75000,1,133.93750
84398,1999/09/21,130.15625,132.46875,130.75000,9335199,130.62500,130.95313,1,132.25000
84398,1999/09/22,129.75000,131.84375,130.59375,13009099,130.75000,131.12500,1,131.25000
84398,1999/09/23,127.62500,131.81250,127.87500,12204199,127.62500,128.12500,1,131.81250
84398,1999/09/24,126.31250,128.37500,127.75000,13792899,127.00000,129.00000,1,127.75000
84398,1999/09/27,128.28125,129.75000,128.59375,6970299,128.25000,128.75000,1,128.75000
84398,1999/09/28,125.56250,128.81250,128.34375,11063399,128.12500,128.50000,1,127.93750
84398,1999/09/29,126.75000,129.12500,126.81250,7580299,126.62500,127.12500,1,128.43750
84398,1999/09/30,126.96875,129.43750,128.75000,7498898,128.50000,128.87500,1,127.43750
84398,1999/10/01,126.62500,128.56250,128.46875,11127099,128.12500,128.62500,1,127.93750
84398,1999/10/04,128.75000,130.87500,130.75000,6341599,130.62500,131.00000,1,129.18750
84398,1999/10/05,128.68750,131.96875,130.62500,11976000,130.37500,130.75000,1,130.71875
84398,1999/10/06,130.68750,132.81250,132.62500,10308199,132.25000,132.75000,1,130.75000
84398,1999/10/07,131.50000,133.00000,131.87500,6535599,131.75000,132.12500,1,132.85938
84398,1999/10/08,131.23438,133.87500,133.87500,9674299,,,1,131.75000
84398,1999/10/11,133.31250,134.12500,133.65625,4282000,133.50000,133.87500,1,133.59375
84398,1999/10/12,131.18750,133.31250,131.59375,8686099,131.37500,131.87500,1,133.12500
84398,1999/10/13,128.18750,131.31250,128.18750,10469299,128.00000,128.50000,1,130.68750
84398,1999/10/14,126.75000,129.18750,128.15625,10562199,128.00000,128.50000,1,128.48438
84398,1999/10/15,124.50000,126.75000,124.87500,14238699,124.50000,125.12500,1,126.00000
84398,1999/10/18,123.43750,125.93750,125.78125,9758799,,,1,124.93750
84398,1999/10/19,125.93750,128.25000,127.00000,14392899,126.50000,126.87500,1,127.18750
84398,1999/10/20,127.12500,129.46875,128.25000,9759399,128.37500,128.75000,1,127.75000
84398,1999/10/21,126.62500,129.00000,129.00000,9105399,128.75000,129.12500,1,127.21875
84398,1999/10/22,129.56250,131.21875,130.09375,8309599,129.87500,130.25000,1,129.75000
84398,1999/10/25,128.75000,130.46875,129.43750,8114299,129.25000,129.62500,1,129.31250
84398,1999/10/26,127.81250,130.68750,127.81250,6256299,127.62500,128.12500,1,130.18750
84398,1999/10/27,128.25000,130.31250,130.12500,5433299,130.00000,130.25000,1,128.37500
84398,1999/10/28,132.18750,134.85938,134.56250,10509699,134.37500,134.75000,1,132.43750
84398,1999/10/29,135.71875,137.68750,137.00000,10988601,136.75000,137.25000,1,135.84375
84398,1999/11/01,135.56250,137.00000,135.56250,4006500,135.50000,135.87500,1,136.50000
84398,1999/11/02,134.59375,137.25000,134.59375,6516899,134.37500,134.87500,1,135.96875
84398,1999/11/03,135.12500,136.37500,135.50000,7221299,135.25000,135.75000,1,136.00000
84398,1999/11/04,135.76563,137.35938,136.53125,7910000,136.50000,137.00000,1,136.75000
